web_pages,country,state-province,name,alpha_two_code,domains
['http://www.universidadsalesiana.edu.mx/'],Mexico,,Universidad Salesiana,MX,universidadsalesiana.edu.mx
['http://www.univillarica.mx/'],Mexico,,Universidad Autónoma de Veracruz Villa Rica,MX,univillarica.mx
['http://www.unla.edu.mx/'],Mexico,,Universidad Latina,MX,unla.edu.mx
['http://www.un.mx/'],Mexico,,Universidad de Norteamerica,MX,un.mx
['http://www.uno.mx/'],Mexico,,Universidad del Noroeste,MX,uno.mx
['http://www.unum.edu.mx/'],Mexico,,Universidad Nuevo Mundo,MX,unum.edu.mx
['http://www.uom.edu.mx/'],Mexico,,Universidad Obrera de Mexico,MX,uom.edu.mx
['http://www.upaep.mx/'],Mexico,,Universidad Popular Autonóma del Estado de Puebla,MX,upaep.mx
['http://www.upiig.ipn.mx/'],Mexico,,"Instituto Politécnico Nacional, Campus Guanajuato",MX,upiig.ipn.mx
['http://www.up.mx/'],Mexico,,Universidad Panamericana,MX,up.mx
['http://www.upn.mx/'],Mexico,,Universidad Pedagógica Nacional,MX,upn.mx
['http://www.uqroo.mx/'],Mexico,,Universidad de Quintana Roo,MX,uqroo.mx
['http://www.urmh.edu.mx/'],Mexico,,Universidad Regional Miguel Hidalgo,MX,urmh.edu.mx
['http://www.ur.mx/'],Mexico,,Universidad Regiomontana,MX,ur.mx
['http://www.urse.edu.mx/'],Mexico,,Universidad Regional del Sureste,MX,urse.edu.mx
['http://www.usac.edu.mx/'],Mexico,,Universidad de la Sierra A.C.,MX,usac.edu.mx
['http://www.usb.edu.mx/'],Mexico,,Universidad Simón Bolivar,MX,usb.edu.mx
['http://www.usf.com.mx/'],Mexico,,Universidad Santa Fe,MX,usf.com.mx
['http://www.uson.mx/'],Mexico,,Universidad de Sonora,MX,uson.mx
['http://www.utm.mx/'],Mexico,,Universidad Tecnologica de la Mixteca,MX,utm.mx
['http://www.utneza.edu.mx/'],Mexico,,Universidad Tecnologica de Nezahualcoyotl,MX,utneza.edu.mx
['http://www.uvb.edu.mx/'],Mexico,,Universidad del Valle del Bravo,MX,uvb.edu.mx
['http://www.uvg1.net/'],Mexico,,Universidad Valle del Grijalva,MX,uvg1.net
['http://www.uvmnet.edu/'],Mexico,,Universidad del Valle de México,MX,uvmnet.edu
['http://www.uv.mx/'],Mexico,,Universidad Veracruzana,MX,uv.mx
['http://www.uvt.edu.mx/'],Mexico,,Universidad del Valle de Toluca,MX,uvt.edu.mx
['http://www.uxac.edu.mx/'],Mexico,,Universidad Xicotepetl,MX,uxac.edu.mx
['http://www.ver.ucc.mx/'],Mexico,,Universidad Cristóbal Colón,MX,ver.ucc.mx
['http://www.westhill.edu.mx/'],Mexico,,Westhill University,MX,westhill.edu.mx
['https://azc.uam.mx/'],Mexico,,Universidad Autónoma Metropolitana - Azcapotzalco,MX,azc.uam.mx
['http://www.itsoeh.edu.mx/'],Mexico,,Instituto Tecnológico de Occidente del Estado de Hidalgo,MX,itsoeh.edu.mx
['https://www.jefferson.edu.mx/'],Mexico,,Universidad Internacional Jefferson,MX,jefferson.edu.mx
['https://ciqa.edu.mx'],Mexico,,Centro de Investigación en Química Aplicada,MX,ciqa.edu.mx
['https://lamar.mx/'],Mexico,,Universidad Guadalajara Lamar,MX,lamar.org.mx
['https://tecmilenio.mx/'],Mexico,,Universidad Tecmilenio,MX,tecmilenio.mx
